system:index,B11,B2,B3,B4,B8,NDMI,NDVI,NDWI,Texture,class,elevation_normalized,random,.geo
1_2_89_0,1714.5,237.0,393.5,376.0,2306.0,-0.99958533,0.12461576,0.065379344,0.006897800065390098,2,0.10008317,0.10870524315261587,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.13320472871445,44.5055485314829]}"
1_2_90_0,1303.0,232.0,414.0,300.0,2372.0,-0.999628,0.15986446,0.09341823,0.007416286755353456,2,0.08760743,0.21708248118118112,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.24908740036587,44.696350697829885]}"
1_2_91_0,1843.0,318.0,555.0,356.0,2265.0,-0.9995731,0.14506534,0.043412805,0.00532617825331043,2,0.11200444,0.3876482813175799,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.55001844626405,44.727073080546774]}"
1_2_92_0,777.0,147.0,253.0,170.5,1738.5,-0.9996343,0.14815488,0.07107854,0.007467600177305106,2,0.108123094,0.38287058629707105,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.08082837336842,44.599332647144976]}"
1_2_93_0,933.0,201.0,332.0,222.0,1996.0,-0.9996243,0.14287227,0.07437142,0.01129310759202197,2,0.075686164,0.6426329830387639,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.73695328260747,44.413381383332236]}"
1_2_94_0,1462.0,234.0,381.0,245.0,2618.0,-0.9996001,0.14023739,0.0832584,0.006249712422574388,2,0.062933184,0.16214526365119697,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.77279606244383,44.20155863933685]}"
1_2_95_0,1585.0,194.0,406.0,203.0,2969.0,-0.99959797,0.19955157,0.06271462,0.006149735737111446,2,0.11948988,0.6724893581705292,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.24333360826564,44.342504307415204]}"
1_2_96_0,2253.0,407.0,733.5,463.0,4340.0,-0.9994775,0.13730076,0.10767137,0.020705489577068487,2,0.07679512,0.6460773810002187,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-88.0618023864725,43.98353751988105]}"
1_2_97_0,3702.0,2082.0,2448.0,2837.0,3305.0,-0.99844456,0.021705812,-0.08355524,0.03531393201846126,2,0.08733019,0.03234930620211118,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-88.86489625047534,43.6690373389108]}"
1_2_98_0,3376.5,886.5,1185.0,1506.0,2969.0,-0.9990918,-0.070493914,-0.013135129,0.02646080546159329,2,0.0945384,0.474065215512916,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-88.43936430038792,43.409783547913904]}"
1_2_99_0,1205.0,208.0,369.0,198.0,2711.0,-0.99961376,0.10261527,0.09822915,0.017946616530320047,2,0.08123094,0.408204522731057,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-88.98994173802478,44.56968824276903]}"
1_2_100_0,1339.0,172.0,301.5,202.0,2573.0,-0.99960786,0.10699923,0.078280956,0.023367277474036868,2,0.076240644,0.2900401994805929,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-88.81962116015572,44.44922416316861]}"
1_2_101_0,2023.0,302.0,554.5,391.5,3348.5,-0.99912584,-0.068300076,-0.043341015,0.026810200530013845,2,0.06736901,0.2739578872644699,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-89.05569841682234,43.88894492046326]}"
1_2_102_0,2252.0,370.0,620.0,581.0,2992.5,-0.999188,-0.062476076,-0.013196705,0.01501485488014281,2,0.07180482,0.6146540389378156,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-88.74793560048299,42.9640395039338]}"
1_2_103_0,2088.0,296.0,627.5,370.5,3619.0,-0.99939924,0.018856809,0.042057928,0.020648154202648435,2,0.07069587,0.3830515348107789,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-89.10771087177285,42.58000971997271]}"
1_2_105_0,2498.0,450.5,805.5,683.0,3051.5,-0.999208,-0.014314791,0.022077458,0.01703824026802009,2,0.06404214,0.5303486669873388,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-88.58462188183006,41.71008119883136]}"
1_2_106_0,2176.0,328.0,512.0,388.0,3358.0,-0.999458,-0.016780894,0.031547755,0.017070443204645194,2,0.060160797,0.5375068042241753,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.60797350493532,41.08566224483988]}"
1_2_107_0,2891.0,857.0,1144.5,1593.0,3219.5,-0.9990784,-0.053820927,-0.026561802,0.014400775820568593,2,0.06903244,0.05522233268261456,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-88.5474316290675,40.38308986113]}"
